Google Scholar Reference,Link,Title,In Analysis?,Category
"Rubio-Sanchez, M., Raya, L., Diaz, F. and Sanchez, A., 2015. A comparative study between RadViz and Star Coordinates. IEEE transactions on visualization and computer graphics, 22(1), pp.619-628.",https://ieeexplore.ieee.org/abstract/document/7192699,A comparative study between RadViz and Star Coordinates,No,
"Pena-Araya, V., Pietriga, E. and Bezerianos, A., 2019. A Comparison of Visualizations for Identifying Correlation over Space and Time. IEEE transactions on visualization and computer graphics, 26(1), pp.375-385.",https://ieeexplore.ieee.org/document/8809223,A Comparison of Visualizations for Identifying Correlation Over Time and Space,No,
"Wall, E., Agnihotri, M., Matzen, L., Divis, K., Haass, M., Endert, A. and Stasko, J., 2018. A heuristic approach to value-driven evaluation of visualizations. IEEE transactions on visualization and computer graphics, 25(1), pp.491-500.",https://ieeexplore.ieee.org/abstract/document/8454343,A Heuristic Approach to Value-Driven Evaluation of Visualizations,No,
"Setlur, V. and Stone, M.C., 2015. A linguistic approach to categorical color assignment for data visualization. IEEE transactions on visualization and computer graphics, 22(1), pp.698-707.",https://ieeexplore.ieee.org/abstract/document/7192709,A Linguistic Approach to Categorical Color Assignment for Data Visualization,No,
"Kanjanabose, R., Abdul‐Rahman, A. and Chen, M., 2015, June. A multi‐task comparative study on scatter plots and parallel coordinates plots. In Computer Graphics Forum (Vol. 34, No. 3, pp. 261-270).",https://onlinelibrary.wiley.com/doi/full/10.1111/cgf.12638,A Multi-task Comparative Study on Scatter Plots and Parallel Coordinates Plots,Yes,Experiment
"Jansen, Y. and Hornbæk, K., 2015. A psychophysical investigation of size as a physical variable. IEEE transactions on visualization and computer graphics, 22(1), pp.479-488.",https://ieeexplore.ieee.org/abstract/document/7194845,A Psychophysical Investigation of Size as a Physical Variable,No,
"Hoang, D., Klacansky, P., Bhatia, H., Bremer, P.T., Lindstrom, P. and Pascucci, V., 2018. A Study of the Trade-off Between Reducing Precision and Reducing Resolution for Data Analysis and Visualization. IEEE transactions on visualization and computer graphics, 25(1), pp.1193-1203.",https://ieeexplore.ieee.org/abstract/document/8440822,A Study of the Trade-off between Reduced Precision and Resolution for Scientific Data Analysis and Visualization,No,
"Fuchs, J., Isenberg, P., Bezerianos, A. and Keim, D., 2016. A systematic review of experimental studies on data glyphs. IEEE transactions on visualization and computer graphics, 23(7), pp.1863-1879.",https://ieeexplore.ieee.org/abstract/document/7445239,A Systematic Review of Experimental Studies on Data Glyphs,No,
"Bartram, L., Patra, A. and Stone, M., 2017, May. Affective color in visualization. In Proceedings of the 2017 CHI conference on human factors in computing systems (pp. 1364-1374).",https://dl.acm.org/doi/abs/10.1145/3025453.3026041,Affective Color in Visualization,No,
"Kosara, R., 2016, October. An empire built on sand: Reexamining what we think we know about visualization. In Proceedings of the sixth workshop on beyond time and errors on novel evaluation methods for visualization (pp. 162-168).",https://dl.acm.org/doi/abs/10.1145/2993901.2993909,An Empire Built On Sand,No,
"Sher, V., Bemis, K.G., Liccardi, I. and Chen, M., 2017, June. An empirical study on the reliability of perceiving correlation indices using scatterplots. In Computer Graphics Forum (Vol. 36, No. 3, pp. 61-72).",https://onlinelibrary.wiley.com/doi/full/10.1111/cgf.13168,An Empirical Study on the Reliability of Perceiving Correlation Indices using Scatterplots,Yes,Experiment
"Borgo, R., Abdul-Rahman, A., Mohamed, F., Grant, P.W., Reppa, I., Floridi, L. and Chen, M., 2012. An empirical study on using visual embellishments in visualization. IEEE Transactions on Visualization and Computer Graphics, 18(12), pp.2759-2768.",https://ieeexplore.ieee.org/abstract/document/6327282,An Empirical Study on Using Visual Embellishments in Visualization,Yes,Experiment
"Skau, D., Harrison, L. and Kosara, R., 2015, June. An evaluation of the impact of visual embellishments in bar charts. In Computer Graphics Forum (Vol. 34, No. 3, pp. 221-230).",https://onlinelibrary.wiley.com/doi/full/10.1111/cgf.12634,An Evaluation of the Impact of Visual Embellishments in Bar Charts,Yes,Experiment
"Tversky, B., Morrison, J.B. and Betrancourt, M., 2002. Animation: can it facilitate?. International journal of human-computer studies, 57(4), pp.247-262.",https://www.sciencedirect.com/science/article/abs/pii/S1071581902910177,Animation: can it facilitate? ,No,
"Skau, D. and Kosara, R., 2016, June. Arcs, angles, or areas: Individual data encodings in pie and donut charts. In Computer Graphics Forum (Vol. 35, No. 3, pp. 121-130).",https://onlinelibrary.wiley.com/doi/full/10.1111/cgf.12888,"Arcs, Angles, or Areas: Individual Data Encodings in Pie and Donut Charts",No,
"Kim, Y. and Heer, J., 2018, June. Assessing effects of task and data distribution on the effectiveness of visual encodings. In Computer Graphics Forum (Vol. 37, No. 3, pp. 157-167).",https://onlinelibrary.wiley.com/doi/full/10.1111/cgf.13409,Assessing Effects of Task and Data Distribution on the Effectiveness of Visual Encodings,Yes,Experiment
"Perin, C., Wun, T., Pusch, R. and Carpendale, S., 2017. Assessing the graphical perception of time and speed on 2d+ time trajectories. IEEE transactions on visualization and computer graphics, 24(1), pp.698-708.",https://ieeexplore.ieee.org/abstract/document/8017638,Assessing the Graphical Perception of Time and Speed on 2D + Time Trajectories,Yes,Experiment
"Ryan, G., Mosca, A., Chang, R. and Wu, E., 2018. At a glance: Pixel approximate entropy as a measure of line chart complexity. IEEE transactions on visualization and computer graphics, 25(1), pp.872-881.",https://ieeexplore.ieee.org/abstract/document/8440849,At a Glance: Approximate Entropy as a Measure of Line Chart Visualization Complexity,Yes,Hybrid
"Mackinlay, J., 1986. Automating the design of graphical presentations of relational information. Acm Transactions On Graphics (Tog), 5(2), pp.110-141.",https://dl.acm.org/doi/abs/10.1145/22949.22950,Automating the Design of Graphical Presentations of Relational Information,Yes,Theory
"Shah, P. and Freedman, E.G., 2011. Bar and line graph comprehension: An interaction of top‐down and bottom‐up processes. Topics in cognitive science, 3(3), pp.560-578.",https://onlinelibrary.wiley.com/doi/full/10.1111/j.1756-8765.2009.01066.x,Bar and Line Graph Comprehension: An Interaction of Top-Down and Bottom-Up Processes,No,
"Li, G., Zhang, Y., Dong, Y., Liang, J., Zhang, J., Wang, J., McGuffin, M.J. and Yuan, X., 2019. BarcodeTree: Scalable comparison of multiple hierarchies. IEEE transactions on visualization and computer graphics, 26(1), pp.1022-1032.",https://ieeexplore.ieee.org/abstract/document/8845772,BarcodeTree: Scalable Comparison of Multiple Hierarchies,No,
"Zacks, J. and Tversky, B., 1999. Bars and lines: A study of graphic communication. Memory & cognition, 27(6), pp.1073-1079.",https://link.springer.com/article/10.3758/BF03201236,Bars and lines: A study of graphic communication,No,
"Aigner, W., Kainz, C., Ma, R. and Miksch, S., 2011, March. Bertin was right: An empirical evaluation of indexing to compare multivariate time‐series data using line plots. In Computer Graphics Forum (Vol. 30, No. 1, pp. 215-228). Oxford, UK: Blackwell Publishing Ltd.",https://onlinelibrary.wiley.com/doi/full/10.1111/j.1467-8659.2010.01845.x,Bertin was Right: An Empirical Evaluation of Indexing to Compare Multivariate Time-Series Data Using Line Plots,Yes,Experiment
